rocnik,mise,nazev_mise,dil,strana,youtube_id,cviceni,poznamka
3,1-1,Čísla do 1000,8. díl,2,oiXGedrkdaY,úvod,ZMĚNA: přepnuto z cvičení 1 na úvodní (výkladové) video téže strany. ověřeno · téma strany: Vyvození číselného oboru; orientace na číselné ose
3,1-2,Porovnávání čísel,8. díl,5,JsoOpJzqWqk,1,ověřeno · téma strany: Porovnávání čísel
3,1-3,Zaokrouhlování,8. díl,36,oOY7moK6keA,1,ověřeno · téma strany: Zaokrouhlování na stovky
3,2-1,Sčítání do 1000,8. díl,30,Fng0eQ2RHx8,1,ověřeno · téma strany: Sčítání a odčítání bez přechodu přes základ 100
3,2-2,Odčítání do 1000,8. díl,33,CkxYPe_vbCg,1,ověřeno · téma strany: Sčítání a odčítání s přechodem přes základ 100
3,2-3,Slovní úlohy +/−,7. díl,4,ZDyGnc4EgW4,1,ověřeno · téma strany: Zápis a řešení slovních úloh
3,3-1,Malá násobilka,7. díl,12,7YDz1zd2v5Q,1,"ověřeno · téma strany: Násobení a dělení čísly 2, 3"
3,3-2,Násobení 10 a 100,8. díl,46,moBiS4YHdbg,1,"ověřeno · téma strany: Násobení a dělení čísly 10, 100"
3,3-3,Slovní úlohy násobení,7. díl,49,mvTq58-MAaY,1,ověřeno – 3. ročník nemá stranu se slovními úlohami na násobení; jediná strana se slovními úlohami (7. díl s. 4) je použitá pro misi 2-3. Ponechána nejbližší. · téma strany: Násobení mimo rozsah malé násobilky
3,4-1,Dělení bez zbytku,7. díl,18,WSBtUhb8BpU,1,"ověřeno · téma strany: Násobení a dělení čísly 6, 7"
3,4-2,Dělení se zbytkem,8. díl,37,iz2YZKRainE,1,ověřeno · téma strany: Dělení se zbytkem
3,4-3,Slovní úlohy dělení,8. díl,61,5ZhtJIOzAt0,1,ověřeno – totéž pro dělení: v 3. ročníku lepší strana neexistuje. Ponecháno. · téma strany: Dělení mimo rozsah malé násobilky
3,5-1,Obvod trojúhelníku,Geometrie pro 3. ročník,36,HuWO3pPc4lQ,úvod,"ZMĚNA: přepnuto z cvičení 1 na úvodní (výkladové) video téže strany. nerozhodnuto: obvod se v Geometrii pro 3. ročník nevykládá vůbec. Přesné téma je až Geometrie 4 s. 51 (Obvod trojúhelníku) = jiný ročník. Volba: ponechat vlastnosti trojúhelníku, sáhnout do 4. ročníku, nebo misi přejmenovat. · téma strany: Trojúhelníky"
3,5-2,Obvod čtverce a obdélníku,Geometrie pro 3. ročník,39,8IWTzsswN7c,úvod A,"ZMĚNA: přepnuto z cvičení 1 na úvodní (výkladové) video téže strany. nerozhodnuto: totéž. Přesné téma je Geometrie 4 s. 29 (Obvod čtverce a obdélníku), tu už používá mise 4/5-1. · téma strany: Čtyřúhelníky"
3,5-3,Úsečky a obrazce,Geometrie pro 3. ročník,6,h4XkTyUjxVE,úvod,"ZMĚNA: přepnuto z cvičení 1 na úvodní (výkladové) video téže strany. ověřeno · téma strany: Opakování – úsečka; měření, rýsování a porovnávání úseček"
3,6-1,Jednotky délky,7. díl,56,o0zTo51cq4g,1,"ověřeno · téma strany: Jednotky délky, hmotnosti, objemu, času, teploty a rychlosti"
3,6-2,Hmotnost a čas,7. díl,24,ekcOF7kMlYw,1,"ověřeno – souhlasím s volbou hodin: strana, která pokrývá obojí (7. díl s. 56), je použitá misí 6-1. Hmotnost tu není zastoupená. · téma strany: Hodiny a určování času"
3,6-3,Peníze,7. díl,11,s1CL2kZiJLc,1,"ověřeno · téma strany: Finanční gramotnost (Kč, €)"
3,7-1,Počítání do 1000,8. díl,55,3Hx2NcSZMBc,1,ověřeno · téma strany: Sloučené početní operace bez závorek a se závorkami
3,7-2,"Násobení a dělení 10, 100",8. díl,47,MeZZZcAlJqc,1,ověřeno · téma strany: Násobení číslem končícím na jednu nebo dvě nuly; dělení čísla končícího na jednu nebo dvě nuly
3,7-3,Finální duel,,,,,"finální duel — boss nemá jedno téma, video schválně žádné"
4,1-1,Čísla do 10 000,"4. ročník, 1. díl",18,XE9E4ReifS0,úvod,ZMĚNA: přepnuto z cvičení 1 na úvodní (výkladové) video téže strany. ověřeno · téma strany: Vyvození číselného oboru 0–10 000
4,1-2,Porovnávání čísel,"4. ročník, 1. díl",23,De1FgIanQkg,1 a 2,ověřeno · téma strany: Porovnávání čísel
4,1-3,Zaokrouhlování,"4. ročník, 1. díl",25,Jtkyh_Y1jRI,1,"ověřeno · téma strany: Zaokrouhlování na desítky, stovky, tisíce"
4,2-1,Sčítání do 10 000,"4. ročník, 1. díl",26,vUbjhuvGEfY,1,ověřeno · téma strany: Pamětné sčítání a odčítání
4,2-2,Odčítání do 10 000,"4. ročník, 1. díl",33,558wydnw5WY,1,ověřeno · téma strany: Písemné sčítání a odčítání
4,2-3,Slovní úlohy +/−,"4. ročník, 1. díl",16,poRfIJwimEE,1,ověřeno · téma strany: Výpočet jednoho a více dílů
4,3-1,Násobilka 1–10,"4. ročník, 1. díl",8,C4ZTCULcSck,1,ověřeno · téma strany: Násobení a dělení
4,3-2,Násobení ×10 a ×100,"4. ročník, 1. díl",44,GXNrokepgIw,1,"ověřeno · téma strany: Násobení a dělení čísly 10, 100 a 1 000"
4,3-3,Násobení dvojciferného,"4. ročník, 1. díl",36,2u9h67FEiEw,1,ověřeno · téma strany: Písemné násobení dvojciferným činitelem
4,4-1,Dělení bez zbytku,"4. ročník, 1. díl",38,yzNEt1-St5w,úvod,ZMĚNA: přepnuto z cvičení 1 na úvodní (výkladové) video téže strany. ověřeno · téma strany: Písemné dělení jednociferným dělitelem
4,4-2,Dělení se zbytkem,"4. ročník, 1. díl",14,SU2ApqdkfJY,1,ověřeno · téma strany: Dělení se zbytkem
4,4-3,Slovní úlohy dělení,"4. ročník, 1. díl",17,RLZwFjRyDmQ,1,ověřeno · téma strany: Výpočet jednoho a více dílů
4,5-1,Obvod obdélníku a čtverce,Geometrie pro 4. ročník,29,RMTEOCd99rA,úvod A,ZMĚNA: přepnuto z cvičení 1 na úvodní (výkladové) video téže strany. ověřeno · téma strany: Obvod čtverce a obdélníku
4,5-2,Obsah obdélníku a čtverce,Geometrie pro 4. ročník,30,Rf57hSPekUQ,úvod,ZMĚNA: přepnuto z cvičení 1 na úvodní (výkladové) video téže strany. ověřeno · téma strany: Obsah čtverce a obdélníku [rozšiřující]
4,5-3,Souřadnice a síť,Geometrie pro 4. ročník,22,3xxPqG-IFfE,1,nerozhodnuto: souřadnice se ve 4. ročníku nevykládají. Výklad je Geometrie 5 s. 40 (Soustava souřadnic); rozšiřující varianta Geometrie 3 s. 32 (souřadnicová a čtvercová síť). Současný výběr (obsah mnohoúhelníku) souřadnice neobsahuje. · téma strany: Obsah mnohoúhelníku
4,6-1,Délkové jednotky,"4. ročník, 1. díl",51,QTk6cWovM_I,1,ověřeno · téma strany: Základní převody jednotek
4,6-2,Hmotnost a čas,"4. ročník, 2. díl",45,SyIrthU_Lz8,1,"ověřeno · téma strany: Převody jednotek času, šedesátková soustava"
4,6-3,Peníze a míry,"4. ročník, 2. díl",40,GdHK8b__Xrs,1,"nerozhodnuto: 4. ročník peníze nemá vůbec (finanční gramotnost je 7. díl s. 11 a 5. ročník). Pro ""míry"" jsou volné 4. roč. 2. díl s. 40 (měřítko mapy, současný výběr) a s. 41 (plošné jednotky); s. 37 dubluje misi 6-1. · téma strany: Měřítko mapy"
4,7-1,Čísla do 1 000 000,"4. ročník, 2. díl",4,R8jHl3Tt-EU,1,ověřeno · téma strany: Vyvození číselného oboru 0–1 000 000
4,7-2,Operace s velkými čísly,"4. ročník, 2. díl",34,C_WBLKg35OU,1,ověřeno · téma strany: Kombinované početní operace – se závorkami i bez závorek
4,7-3,Finální duel,,,,,"finální duel — boss nemá jedno téma, video schválně žádné"
5,1-1,Čísla do milionu,"5. ročník, 2. díl",2,IZ2UpqdmEWY,1,ověřeno · téma strany: Vyvození číselného oboru
5,1-2,Porovnávání velkých čísel,"5. ročník, 2. díl",6,nCN7cruIdYY,1,ověřeno · téma strany: Zaokrouhlování a porovnávání čísel
5,1-3,Zaokrouhlování,"5. ročník, 1. díl",4,nVbk8Z3BFb8,1,ověřeno · téma strany: Zaokrouhlování čísel
5,2-1,Násobení × jednociferným,"5. ročník, 1. díl",11,gG3KC9eVicQ,1,"ověřeno · téma strany: Dělení se zbytkem, písemné násobení a dělení"
5,2-2,Násobení dvojciferným,"5. ročník, 2. díl",12,k3oYow_JB88,1,"ověřeno – 5. ročník samostatnou stranu na písemné násobení dvojciferným nemá, výklad je ve 4. roč. 1. dílu s. 36. Ponechána nejbližší strana v ročníku. · téma strany: Násobení a dělení"
5,2-3,Slovní úlohy násobení,"5. ročník, 1. díl",34,0-nwEEZYUhQ,1,"ověřeno · téma strany: Výpočet jednoho a více dílů, výpočet jedné a více částí"
5,3-1,Dělení jednociferným,"5. ročník, 1. díl",10,TAdGMO6GpTw,"1,2","ověřeno · téma strany: Násobení a dělení, příklady s více početními operacemi"
5,3-2,Dělení se zbytkem,"5. ročník, 1. díl",39,bAO0tTajbkc,1,ověřeno · téma strany: Pamětné dělení se zbytkem
5,3-3,Slovní úlohy dělení,"5. ročník, 1. díl",33,hH6Ao2y1p14,1,"ověřeno · téma strany: Výpočet jednoho a více dílů, výpočet jedné a více částí"
5,4-1,Zlomek z čísla,"5. ročník, 1. díl",20,I_-bRO9D-2M,1,"ověřeno · téma strany: Zlomky, výpočet částí z celku"
5,4-2,Sčítání a odčítání zlomků,"5. ročník, 1. díl",48,zb1ntxKuhUE,1,ověřeno · téma strany: Zlomky
5,4-3,Slovní úlohy se zlomky,"5. ročník, 2. díl",30,fpbLmqLNDGc,1,"ověřeno · téma strany: Části z celku – čtvrt, půl, tři čtvrtě, aplikace na jednotky délky, hmotnosti, objemu"
5,5-1,Porovnávání desetinných,"5. ročník, 1. díl",51,TyhDPCBqBqU,1 úvod A,"ověřeno · téma strany: Desetinná čísla – základní seznámení, orientace na číselné ose, porovnávání"
5,5-2,Sčítání a odčítání desetinných,"5. ročník, 1. díl",56,tubxrNy0MtU,1,ověřeno · téma strany: Desetinná čísla – sčítání a odčítání
5,5-3,"Násobení a dělení 10, 100","5. ročník, 2. díl",21,2IJHRB97Gqs,1,"ověřeno · téma strany: Desetinná čísla – násobení a dělení desetinných čísel čísly 10, 100 a 1 000"
5,6-1,Obvod a obsah,Geometrie pro 5. ročník,26,aVp-RKYt8BI,1,ověřeno · téma strany: Čtverec a obdélník – obvod a obsah
5,6-2,Převody jednotek,"5. ročník, 1. díl",22,Y4p1PiLYXOc,1,ověřeno · téma strany: Převody jednotek – jednotky délky
5,6-3,Aritmetický průměr,"5. ročník, 1. díl",35,fei07aW1ltA,1,"ověřeno · téma strany: Aritmetický průměr, odhad výsledku"
5,7-1,Velká čísla,"5. ročník, 2. díl",18,muycYgNM84g,1,ověřeno · téma strany: Zapisování velkých čísel v textu
5,7-2,Operace s čísly,"5. ročník, 2. díl",14,KT1xqtawg48,1,"ověřeno · téma strany: Početní operace se závorkami a bez závorek, pamětné násobení a dělení pomocí rozkladu"
5,7-3,Finální duel,,,,,"finální duel — boss nemá jedno téma, video schválně žádné"
